grid,RWLA,COMO,WTKI,COSA,GRCO,GHSW,RNIB,IPHE,GRHE,INEG,RITE,PUHE,PIKI,WBWA,BWST,INCO,GREG,COKI,LICO,ASOP,EUSP,LIEG,BWJA,AWNS,RUSH,BHIB,KBDU,GLIB,BCNH,STHE,ISBD,LWDU,GWTE,ISCU,LIGR,PAST,ORDA,MASA,TEST,WOSA,GRSA,CORE,NOSH,CPGO,SACR,EUCO,PTJA,WHTE,GADW,COPO,EUWI,BTGO,LRPL,RUFF,NOPI,GRGO
251,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,34,0,24,0,0,0,0,0
277,13,1,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3,1,1,0,0,7,0,5,1,2,0,2,0,3,4,2,3,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
99,2,0,1,1,0,0,0,2,0,0,1,0,0,0,5,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,2,0,0,0,2,1,1,0,0,0,0,0,0,7,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,65,0,0,2,0,0,2,1,0,0,0,0,3,0,26,0,1,0,1,0,0,0,0,0,0,5,0,128,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,1,0,0,1,0,0,1,2,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,7,1,0,0,0
421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,0,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
423,6,0,0,3,0,0,1,1,0,0,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,37,0,0,3,0,0,0,1,1,2,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
382,45,0,0,1,1,0,19,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,2,9,0,0
319,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1
300,0,12,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0
320,1,0,1,0,12,0,0,4,1,1,1,0,0,1,3,0,1,0,18,0,0,1,0,1,2,0,0,0,0,0,7,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
367,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,52,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,2,0,0,0
366,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,5,6,1,0,0,2,2,0,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,12,0,0,1,0,2,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,8,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,5,0,0,0,3,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,4,0,2,3,0,0,0,0,0,1,1,0,0,1,12,0,0,1,6,2,0,0,1,0,0,1,0,8,0,0,16,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,46,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,38,0,0,4,0,0,40,2,10,0,0,0,0,0
280,15,0,0,2,1,0,0,0,0,0,1,0,0,2,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2,0,0,0,45,12,0,3,1,1,1,1,0,0,6,0,1,0,17,0,20,1,0,0,0,3,0,25,0,0,12,0,7,0,1,0,0,0,0,2,1,0,1,0,0,1,5,0,1,1,1,1,0,55,12,0
221,2,4,1,1,4,4,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
